TP,FP,FN,TN,Precision,Recall,F1,IoU,Accuracy,Image,Inference_ms
3524,38947,57,130528,0.08297426479225124,0.9840826584478056,0.1530443702653763,0.08286305492832284,0.7746163091715976,2339.rf.998318533e4ed9c7bcb7d32a307f3ef5.jpg,5.492700001923367
2324,23162,2,147568,0.0911873185274614,0.9991401547291858,0.16712209023704405,0.09118016321370379,0.866147374260355,2363.rf.66dcd237b513dd108c4b8e9ffec97d8d.jpg,3.941500006476417
3907,288,439,168422,0.9313468414557486,0.8989875747607228,0.9148811114507115,0.8431160983849134,0.9957990477071006,2369.rf.a3202ed06db3bc7523390481441fb197.jpg,2.064500004053116
2096,903,17,170040,0.6988996331877659,0.9919545669194533,0.8200312503744096,0.6949602121785491,0.9946838017751479,2373.rf.e46190ac62dfc1db6f49d8a51cb3c7f7.jpg,2.0029000006616116
1212,83156,0,88688,0.014365636260176411,0.9999999999174917,0.02832437206154794,0.014365636260176411,0.5194850221893491,2388.rf.dd8dc351bb67d6bfc9ae331dae59cb0d.jpg,4.348399990703911
2154,400,1667,168835,0.8433829287062106,0.5637267730812948,0.6757646578361366,0.510305614771137,0.9880558894230769,2400.rf.e2dbfc7baf8e55f3ee71cde186d199c2.jpg,2.081799990264699
843,43437,2,128774,0.0190379403793608,0.9976331359766115,0.037362877211239834,0.019037080529291726,0.7489887666420119,2412.rf.e84608f5da46f7643e7da0b7646e6db4.jpg,4.703100014012307
4156,58162,916,109822,0.06669020186773213,0.8194006308986711,0.12334172817810687,0.06572413574965094,0.658619175295858,2413.rf.669f2c0f7a1d89a840314907bb8be452.jpg,5.208699993090704
1707,30464,1,140884,0.05306020950529029,0.9994145198478094,0.10077037916117779,0.053058560238551974,0.8239587185650887,2416.rf.0daa5b77c15dedd67a5b013075476db8.jpg,5.103200004668906
1238,657,485,170676,0.653298152999826,0.7185142193430926,0.6843559478640096,0.520168067205035,0.9934009800295858,2426.rf.ae04998dc00ce092b840c07229072282.jpg,2.0334000000730157
4332,1067,353,167304,0.8023708093942884,0.924653148326048,0.8591828141765112,0.7531293463012321,0.9917945636094675,2437.rf.0d98e6b224e34447aafdf882383ea14a.jpg,2.4061999865807593
1069,38177,0,133810,0.027238444682191207,0.9999999999064546,0.053032364922698104,0.027238444682191207,0.7793951090976331,2454.rf.98ca60a89bb835f7ef56315930fdef1d.jpg,4.303400026401505
3395,18267,53,151341,0.15672606407461578,0.9846287702730676,0.27041017144719043,0.1563435413301573,0.8941383136094675,2470.rf.3bba055020993dc304c435353cfd1818.jpg,4.364699998404831
